station,state,latitude,longitude,elevation,avg_temp,total_prcp
Fielding Lake,AK,63.2,-145.63,914.4,30.09159090909091,12.77166044
Fish Creek,OR,42.71,-118.63,2334.8,43.12659090909091,36.24017705
Fish Lake,WA,47.54,-121.09,1045.5,43.79545454545455,36.47246064
Fish Lake Utah,UT,38.5,-111.77,2681.6,43.58477272727272,15.06693727
Fish Lk.,OR,42.38,-122.35,1420.4,47.76022727272728,32.58269476
Fisher Creek,MT,45.06,-109.94,2773.7,36.98,45.42522138
Five Points Lake,UT,40.72,-110.47,3334.5,36.22590909090909,25.87796673
Fool Creek,CO,39.87,-105.87,3398.5,37.31545454545455,26.72836089
Forestdale Creek,CA,38.68,-119.96,2443.6,44.657272727272726,75.17720595
Fourmile Lake,OR,42.44,-122.23,1819.7,45.2225,41.56301457
Franklin Basin,ID,42.05,-111.6,2490.2,42.55727272727273,38.47639873
Frisco Divide,NM,33.74,-108.95,2438.4,52.177727272727275,13.63780264
Frohner Meadow,MT,46.44,-112.19,1975.1,43.93181818181818,16.34252851
Fry,AZ,35.07,-111.84,2194.6,51.52555133079848,22.26379155
GAGE AP,OK,36.2967,-99.7689,667.8,63.28358778625954,21.56694078
GAINESVILLE GILMER AP,GA,34.2719,-83.8303,388.6,65.6811969111969,41.8897864
GAINESVILLE RGNL AP,FL,29.6919,-82.2756,37.5,71.61202290076335,64.12601888
GALLUP MUNI AP,NM,35.5144,-108.7939,1972.4,54.34665384615384,7.88976804
GALVESTON SCHOLES FLD,TX,29.2733,-94.8592,1.5,75.93064885496185,50.46065717
GARDEN CITY RGNL AP,KS,37.9272,-100.7247,878.4,59.47755813953488,15.92520545
GARRISON,ND,47.6458,-101.4394,582.2,45.599346153846156,9.57087131
GASTONIA MUNI AP,NC,35.1967,-81.1558,242.9,65.73325581395349,33.59844334
GAYLORD OTSEGO CO AP,MI,45.0133,-84.7014,406.9,48.05184615384615,22.88190212
GBRC HQ,UT,39.32,-111.49,2603.3,44.80386363636364,23.26379209
GBRC Meadows,UT,39.3,-111.45,2980.9,40.38636363636363,30.169307630000002
GEORGETOWN SUSSEX CO AP,DE,38.6892,-75.3592,15.5,61.40265384615385,35.64175153
GILLETTE CAMPBELL AP,WY,44.3394,-105.5419,1327.1,51.41609375,11.16536036
GLASGOW INTL AP,MT,48.2138,-106.6213,696.5,49.378587786259544,4.76771911
GLENCOE 2 NW,KY,38.7389,-84.8494,198.1,57.22692913385826,41.16931357
GLENS FALLS AP,NY,43.35,-73.6167,97.8,50.55992366412214,29.29529141
GOODLAND,KS,39.3669,-101.7,1112.8,56.46385496183206,22.40552391
GOSHEN MUNI AP,IN,41.5272,-85.7922,252.1,54.61953667953669,25.22048606
GRAND CANYON NP AP,AZ,35.9461,-112.1547,2013.5,50.875076923076925,11.36221086
GRAND FORKS INTL AP,ND,47.9428,-97.1839,256.6,47.04786259541985,13.2283536
GRAND ISLAND AP,NE,40.9611,-98.3136,560.8,55.76240458015267,21.69686211
GRAND JUNCTION WALKER FLD,CO,39.1342,-108.54,1480.7,60.18408396946565,4.32677399
GRAND MARAIS,MN,47.7472,-90.3444,185.9,42.52374517374517,21.14568071
GRAND RAPIDS,MI,42.8939,-85.5447,237.1,53.2286641221374,24.897651240000002
GREAT FALLS INTL AP,MT,47.4733,-111.3822,1116.8,49.52217557251908,11.81496701
GREEN BAY,WI,44.4983,-88.1111,207.9,50.192022900763355,25.95276992
GREENVILLE ASOS,MS,33.4825,-90.9853,39.0,67.72347328244274,30.90946551
GREENVILLE DWTN AP,SC,34.8461,-82.3461,319.4,67.72374517374517,37.66537467
GREENVILLE MAINE FORESTRY SVC,ME,45.4622,-69.5953,316.1,42.720800000000004,34.06694753
GREENWOOD CO AP,SC,34.2486,-82.1592,192.3,66.3665,33.42915191
GREENWOOD LEFLORE AP,MS,33.4964,-90.0867,40.5,68.161106870229,38.19687102
GREER,SC,34.8831,-82.2203,286.5,65.19213740458015,42.133881020000004
GREYBULL S BIG HORN AP,WY,44.5169,-108.0822,1198.8,50.67880769230769,3.3740175700000004
GROTON NEW LONDON AP,CT,41.3275,-72.0494,3.0,53.5315444015444,28.23623572
GULFPORT - BILOXI AP,MS,30.4119,-89.0808,12.8,72.2073282442748,65.21263364
GULKANA AP,AK,62.1592,-145.4589,476.1,34.506946564885496,6.64960989
GUTHRIE MUNI AP,OK,35.8517,-97.4142,325.5,65.62123076923078,27.58269206
GUYMON MUNI AP,OK,36.6817,-101.5053,951.9,62.053023255813955,15.56693754
Galena,ID,43.88,-114.67,2276.9,40.015454545454546,31.350410630000002
Galena Summit,ID,43.87,-114.71,2676.1,39.974545454545456,34.141750720000005
Garden City Summit,UT,41.92,-111.47,2348.5,42.21909090909091,30.06694537
Gardner Peak,UT,37.4,-113.46,2536.5,48.501363636363635,19.66536495
Garver Creek,MT,48.98,-115.82,1295.4,42.118181818181824,18.06693889
George Creek,UT,41.92,-113.41,2744.7,40.27659090909091,35.88978316
Gerber Reservoir,OR,42.21,-121.13,1490.5,50.583636363636366,14.334653410000001
Giveout,ID,42.41,-111.17,2112.3,43.791363636363634,20.44489293
